,Disease,Symptom
198,infection,                                                   chill                         pain  erythema     swelling                                                                                                                                                                                                                                                                                                                            
199,infection,                                            cough  decreased_translucency                              pain  erythema hepatosplenomegaly pruritus                                                                                                                                                                                                                                                                                                                               
200,infection,                                            cough  decreased_translucency                              pain    pruritus diarrhea  swelling apyrexial                                                                                                                                                                                                                                                                                                                           
201,infection,                                             fever decreased_translucency     chill                             pruritus                                                                                                                                                                                                                                                                                                                               
202,infection urinary tract,   asthenia              mental_status_changes                                                                    dysuria hematuria  lethargy  hemodynamically_stable                                                                                                                                                                                                                                                                                                                     
203,infection urinary tract,                 mental_status_changes                                                                     hematuria renal_angle_tenderness  hyponatremia                                                                                                                                                                                                                                                                                                                      
204,infection urinary tract,   asthenia                                          fever                                        dysuria       consciousness_clear                                                                                                                                                                                                                                                                                                                   
205,infection urinary tract,                                             fever            distress_respiratory                            dysuria hematuria    hemodynamically_stable                                                                                                                                                                                                                                                                                                                     
206,infection urinary tract,                 mental_status_changes                            fever                                            hyponatremia hemodynamically_stable                                                                                                                                                                                                                                                                                                                     
207,infection urinary tract,                 mental_status_changes                            fever                                        dysuria hematuria renal_angle_tenderness  hyponatremia                                                                                                                                                                                                                                                                                                                      
208,anemia,   asthenia                                                                                swelling             tumor_cell_invasion    heme_positive pain_back orthostasis                                                                                                                                                                                                                                                                                                         
209,anemia,                                                   chill rhonchus                                     hyponatremia    guaiac_positive   tumor_cell_invasion       arthralgia transaminitis                                                                                                                                                                                                                                                                                                       
210,anemia,   asthenia                                                chill rhonchus                                           ecchymosis                                                                                                                                                                                                                                                                                                                
211,anemia,   asthenia                                                                                swelling           monoclonal ecchymosis   pallor    orthostasis  transaminitis                                                                                                                                                                                                                                                                                                       
212,anemia,                                                                            pain             hyponatremia      ecchymosis tumor_cell_invasion       arthralgia transaminitis                                                                                                                                                                                                                                                                                                       
213,anemia,                                                                                              monoclonal  tumor_cell_invasion     pain_back  arthralgia                                                                                                                                                                                                                                                                                                        
214,anemia,   asthenia                                                                                      hyponatremia        haemorrhage   heme_positive    transaminitis                                                                                                                                                                                                                                                                                                       
215,anemia,  dizziness                                                 chill rhonchus                                     hyponatremia     monoclonal ecchymosis                                                                                                                                                                                                                                                                                                                
216,anemia, shortness_of_breath  asthenia                                                chill                                      hyponatremia       tumor_cell_invasion haemorrhage       transaminitis                                                                                                                                                                                                                                                                                                       
217,anemia,  dizziness                                                 chill rhonchus                                           ecchymosis   pallor   pain_back                                                                                                                                                                                                                                                                                                          
218,chronic obstructive airway disease,                                                              dyspnea                                           sputum_purulent hypoxemia  patient_non_compliance                                                                                                                                                                                                                                                                                                   
219,chronic obstructive airway disease, shortness_of_breath                                           cough           wheezing                                                   hypoxemia hypercapnia                                                                                                                                                                                                                                                                                                    
220,chronic obstructive airway disease, shortness_of_breath                                          chest_tightness              distress_respiratory                                                sputum_purulent   patient_non_compliance                                                                                                                                                                                                                                                                                                   
221,chronic obstructive airway disease,                                           chest_tightness cough           wheezing  distress_respiratory                                                sputum_purulent  hypercapnia patient_non_compliance                                                                                                                                                                                                                                                                                                   
222,chronic obstructive airway disease, shortness_of_breath                                          chest_tightness cough             distress_respiratory                                                sputum_purulent hypoxemia hypercapnia                                                                                                                                                                                                                                                                                                    
223,dementia,    fall            unresponsiveness                                    rhonchus             facial_paresis                                              abdominal_tenderness unsteady_gait                                                                                                                                                                                                                                                                                               
224,dementia,    fall                            agitation                                                        lethargy                       abdominal_tenderness unsteady_gait                                                                                                                                                                                                                                                                                               
225,dementia,     syncope                                                            facial_paresis                       lethargy                       abdominal_tenderness                                                                                                                                                                                                                                                                                                
226,dementia,               rale                                                             pain            lethargy       ecchymosis              unconscious_state bedridden_bedridden                                                                                                                                                                                                                                                                                                 
227,dementia,     syncope                                               rhonchus             facial_paresis           pain                   ecchymosis                abdominal_tenderness                                                                                                                                                                                                                                                                                                
228,dementia,               rale unresponsiveness                agitation            cough                                pain                                                                                                                                                                                                                                                                                                                                   
229,dementia,     syncope          rale       hallucinations_auditory          agitation                                            pain                                 unconscious_state                                                                                                                                                                                                                                                                                                  
230,dementia,     syncope                           agitation                                 facial_paresis                       lethargy                       abdominal_tenderness unsteady_gait                                                                                                                                                                                                                                                                                               
231,insufficiency renal,              orthopnea rale                          hypokinesia                                                                         urgency_of micturition                                                                                                                                                                                                                                                                                             
232,insufficiency renal, shortness_of_breath              rale                      difficulty                                                        guaiac_positive                     urgency_of micturition                                                                                                                                                                                                                                                                                             
233,insufficiency renal,                 mental_status_changes                    difficulty             breath_sounds_decreased                               diarrhea                                 urgency_of micturition                                                                                                                                                                                                                                                                                             
234,insufficiency renal, shortness_of_breath             orthopnea   mental_status_changes                    difficulty                         dyspnea                                                      hypotension                                                                                                                                                                                                                                                                                           
235,insufficiency renal,   asthenia              mental_status_changes                                                                  swelling apyrexial         guaiac_positive                     urgency_of micturition  hypotension                                                                                                                                                                                                                                                                                           
236,insufficiency renal,               rale                          hypokinesia                                        diarrhea   apyrexial                               ascites                                                                                                                                                                                                                                                                                            
237,insufficiency renal, shortness_of_breath                                                 breath_sounds_decreased                                           guaiac_positive                    hyperkalemia  ascites hypotension                                                                                                                                                                                                                                                                                           
238,insufficiency renal,   asthenia              mental_status_changes                        hypokinesia                                        diarrhea                                 urgency_of micturition                                                                                                                                                                                                                                                                                             
239,confusion,                unresponsiveness mental_status_changes                                               speech_slurred                                                      asterixis muscle_twitch  headache                                                                                                                                                                                                                                                                                      
240,confusion,    fall                            agitation                               dysarthria                                              unconscious_state          muscle_twitch                                                                                                                                                                                                                                                                                        
241,confusion,                                                                speech_slurred                         hyponatremia   consciousness_clear                         enuresis                                                                                                                                                                                                                                                                                          
242,confusion,    fall                             tremor                                                        hyponatremia                             asterixis   headache                                                                                                                                                                                                                                                                                      
243,confusion,  dizziness                              agitation tremor                                                                            unconscious_state        enuresis    headache                                                                                                                                                                                                                                                                                      
244,confusion,  dizziness                               tremor                                  seizure                         consciousness_clear                         enuresis   sleepy headache                                                                                                                                                                                                                                                                                      
245,confusion,  dizziness                               tremor                                                           consciousness_clear                          asterixis muscle_twitch sleepy                                                                                                                                                                                                                                                                                       
246,confusion,   asthenia fall             mental_status_changes               agitation                                speech_slurred                        lethargy                             enuresis                                                                                                                                                                                                                                                                                          
247,confusion,  dizziness asthenia                              tremor                                  seizure                      hyponatremia                              muscle_twitch sleepy                                                                                                                                                                                                                                                                                       
248,confusion,    fall                                                           dysarthria                                                       asterixis muscle_twitch                                                                                                                                                                                                                                                                                        
249,degenerative polyarthritis,             polydypsia                                                                                                   unsteady_gait           food_intolerance  general_discomfort drowsiness stiffness                                                                                                                                                                                                                                                                                
250,degenerative polyarthritis,   asthenia          polydypsia                                                               pain nonsmoker                                              food_intolerance numbness_of_hand  drowsiness                                                                                                                                                                                                                                                                                 
251,degenerative polyarthritis,   asthenia                                                                                                             unsteady_gait           food_intolerance  general_discomfort  stiffness                                                                                                                                                                                                                                                                                
252,degenerative polyarthritis,                                                                            pain                                    unsteady_gait            numbness_of_hand general_discomfort                                                                                                                                                                                                                                                                                  
253,degenerative polyarthritis,             polydypsia                                         non-productive_cough                      pain                                    unsteady_gait             general_discomfort drowsiness                                                                                                                                                                                                                                                                                 
254,hypothyroidism,                 mental_status_changes         motor_retardation           difficulty                                                                           unsteady_gait                                                                                                                                                                                                                                                                                               
255,hypothyroidism,   asthenia fall syncope                           agitation                                                                                                 drowsiness_sleepy                                                                                                                                                                                                                                                                              
256,hypothyroidism,                                agitation      nightmare                                                                              hypotension             drowsiness_sleepy  fatigue_tired mass_of_body_structure                                                                                                                                                                                                                                                                           
257,hypothyroidism,   asthenia         polyuria     mental_status_changes                    difficulty                               numbness                                                                                                                                                                                                                                                                                                                                           
258,hypothyroidism, shortness_of_breath                                                                   numbness                                                               fatigue_tired mass_of_body_structure                                                                                                                                                                                                                                                                           
259,hypothyroidism,   asthenia               vomiting        motor_retardation                                                                                      unsteady_gait                 drowsiness_sleepy                                                                                                                                                                                                                                                                              
260,hypothyroidism,                                     difficulty                           speech_slurred                         hyponatremia                                         weight_gain                                                                                                                                                                                                                                                                             
261,hypothyroidism,                          motor_retardation      agitation      nightmare                                                   hyponatremia                                          fatigue_tired                                                                                                                                                                                                                                                                            
262,hypothyroidism,   asthenia fall                      motor_retardation                                                                                                      prostatism                                                                                                                                                                                                                                                                               
263,hypothyroidism,    fall                      motor_retardation                                      speech_slurred    numbness                                                            prostatism                                                                                                                                                                                                                                                                               
264,anxiety state,pain_chest        palpitation             suicidal hallucinations_auditory               difficulty                                       pain                                                                                                                                                                                                                                                                                                                                   
265,anxiety state,        palpitation             suicidal       blackout  hallucinations_visual                                                                              patient_non_compliance                          nervousness                                                                                                                                                                                                                                                                         
266,anxiety state,                      hallucinations_auditory      blackout   worry  tremor    difficulty                                                                                                   hot_flush                                                                                                                                                                                                                                                                       
267,anxiety state,                        weepiness sleeplessness       agitation                                            pain                                                         has_religious_belief                                                                                                                                                                                                                                                                          
268,anxiety state,                        weepiness sleeplessness    mood_depressed   agitation tremor    difficulty                                                                                                                                                                                                                                                                                                                                                                          
269,anxiety state,pain_chest                        weepiness sleeplessness   blackout     tremor                                                                                                                                                                                                                                                                                                                                                                              
270,anxiety state,                     suicidal       blackout  hallucinations_visual                                              pain                                                            hot_flush                                                                                                                                                                                                                                                                       
271,anxiety state,pain_chest                      hallucinations_auditory        hallucinations_visual  agitation                                                                            patient_non_compliance                           formication                                                                                                                                                                                                                                                                        
272,anxiety state,                               worry      difficulty nightmare                                      pain                                                         has_religious_belief  formication hot_flush                                                                                                                                                                                                                                                                       
273,anxiety state,                           irritable_mood blackout mood_depressed         nightmare                                      pain                                                         has_religious_belief nervousness                                                                                                                                                                                                                                                                         
274,anxiety state,                        weepiness    blackout                                                                                                         has_religious_belief   hot_flush                                                                                                                                                                                                                                                                       
275,anxiety state,                        weepiness     mood_depressed    tremor    difficulty                                                                                                  formication                                                                                                                                                                                                                                                                        
276,malignant neoplasms primary malignant neoplasm,                                                                                      hematuria                             ascites                      lesion cushingoid_facies_cushingoid habitus emphysematous_change decreased_body_weight  thicken                                                                                                                                                                                                                                                                 
277,malignant neoplasms primary malignant neoplasm,                                                                                                                   ascites                      lesion cushingoid_facies_cushingoid habitus   hoarseness                                                                                                                                                                                                                                                                  
278,malignant neoplasms primary malignant neoplasm,                                                                                                                   ascites                       cushingoid_facies_cushingoid habitus emphysematous_change decreased_body_weight hoarseness                                                                                                                                                                                                                                                                  
279,malignant neoplasms primary malignant neoplasm,                                                                                      hematuria                                                    cushingoid_facies_cushingoid habitus emphysematous_change decreased_body_weight hoarseness                                                                                                                                                                                                                                                                  
280,malignant neoplasms primary malignant neoplasm,                                                                            pain                                                             lesion cushingoid_facies_cushingoid habitus  decreased_body_weight  thicken                                                                                                                                                                                                                                                                 
281,acquired immuno-deficiency syndrome HIV hiv infections,                    feeling_suicidal                           productive_cough           tachypnea  night_sweat                     diarrhea                                                                muscle_hypotonia_hypotonic                                                                                                                                                                                                                                                              
282,acquired immuno-deficiency syndrome HIV hiv infections,                                            cough                night_sweat                                                patient_non_compliance                                decreased_body_weight                                                                                                                                                                                                                                                                   
283,acquired immuno-deficiency syndrome HIV hiv infections,                                            cough   productive_cough pleuritic_pain                                                            patient_non_compliance                                    Unnamed:_145 muscle_hypotonia_hypotonic                                                                                                                                                                                                                                                              
284,acquired immuno-deficiency syndrome HIV hiv infections,                    feeling_suicidal                         fever  productive_cough pleuritic_pain                                 diarrhea                                                           decreased_body_weight    Unnamed:_145                                                                                                                                                                                                                                                               
285,acquired immuno-deficiency syndrome HIV hiv infections,                    feeling_suicidal                         fever   pleuritic_pain          tachypnea                                                  patient_non_compliance                                    Unnamed:_145                                                                                                                                                                                                                                                               
286,acquired immuno-deficiency syndrome HIV hiv infections,                                             fever   pleuritic_pain          tachypnea                       diarrhea                                                                                                                                                                                                                                                                                                                              
287,acquired immuno-deficiency syndrome HIV hiv infections,                    feeling_suicidal                        cough fever   pleuritic_pain                                 diarrhea                                                              spontaneous_rupture_of_membranes                                                                                                                                                                                                                                                                
288,cellulitis,pain_chest                                             fever                                 erythema  pruritus  abscess_bacterial                          patient_non_compliance                                        hyperacusis                                                                                                                                                                                                                                                           
289,cellulitis,pain_chest                                                                              erythema    abscess_bacterial                          patient_non_compliance                                      redness hypesthesia   sore_to_touch                                                                                                                                                                                                                                                         
